student_id,round_id,arm_id,start_level,delta_level,end_level
1,1,1,0,2,2
2,1,2,4,2,4
3,1,1,1,0,1
4,1,2,2,0,2
5,1,1,1,2,3
6,1,2,4,2,4
7,1,1,4,2,4
8,1,2,1,0,1
9,1,1,3,2,4
10,1,2,1,2,3
11,1,1,3,1,4
12,1,2,2,2,4
13,1,1,1,0,1
14,1,2,4,1,4
15,1,1,3,1,4
16,1,2,0,1,1
17,1,1,3,2,4
18,1,2,0,1,1
19,1,1,2,2,4
20,1,2,4,2,4
21,1,1,1,1,2
22,1,2,3,1,4
23,1,1,2,2,4
24,1,2,0,0,0
25,1,1,4,2,4
26,1,2,2,2,4
27,1,1,4,0,4
28,1,2,0,0,0
29,1,1,0,0,0
30,1,2,3,1,4
31,1,1,2,0,2
32,1,2,0,0,0
33,1,1,1,2,3
34,1,2,4,2,4
35,1,1,3,1,4
36,1,2,2,1,3
37,1,1,4,2,4
38,1,2,0,2,2
39,1,1,3,0,3
40,1,2,3,1,4
41,1,1,1,0,1
42,1,2,0,1,1
43,1,1,3,2,4
44,1,2,0,1,1
45,1,1,2,0,2
46,1,2,3,1,4
47,1,1,2,2,4
48,1,2,2,2,4
49,1,1,1,2,3
50,1,2,4,0,4
51,1,1,4,1,4
52,1,2,1,2,3
53,1,1,2,0,2
54,1,2,1,1,2
55,1,1,4,2,4
56,1,2,1,1,2
57,1,1,0,1,1
58,1,2,1,2,3
59,1,1,1,1,2
60,1,2,2,2,4
61,1,1,0,2,2
62,1,2,1,2,3
63,1,1,4,0,4
64,1,2,3,1,4
65,1,1,0,2,2
66,1,2,4,2,4
67,1,1,2,2,4
68,1,2,4,0,4
69,1,1,1,2,3
70,1,2,0,1,1
71,1,1,4,0,4
72,1,2,0,2,2
73,1,1,3,1,4
74,1,2,4,0,4
75,1,1,2,1,3
76,1,2,1,0,1
77,1,1,1,2,3
78,1,2,1,1,2
79,1,1,0,1,1
80,1,2,3,0,3
81,1,1,3,2,4
82,1,2,4,1,4
83,1,1,3,2,4
84,1,2,2,1,3
85,1,1,2,1,3
86,1,2,0,2,2
87,1,1,4,1,4
88,2,2,1,2,3
89,2,1,3,1,4
90,2,2,2,2,4
91,2,1,3,0,3
92,2,2,2,1,3
93,2,1,1,1,2
94,2,2,1,1,2
95,2,1,4,2,4
96,2,2,0,1,1
97,2,1,1,1,2
98,2,2,0,1,1
99,2,1,2,1,3
100,2,2,2,0,2
101,2,1,4,1,4
102,2,2,1,1,2
103,2,1,1,0,1
104,2,2,3,2,4
105,2,1,3,0,3
106,2,2,1,1,2
107,2,1,4,2,4
108,2,2,4,0,4
109,2,1,4,1,4
110,2,2,0,1,1
111,2,1,3,1,4
112,2,2,0,2,2
113,2,1,1,2,3
114,2,2,0,1,1
115,2,1,4,0,4
116,2,2,0,2,2
117,2,1,2,2,4
118,2,2,2,0,2
119,2,1,0,2,2
120,2,2,4,1,4
121,2,1,3,0,3
122,2,2,1,2,3
123,2,1,4,2,4
124,2,2,3,1,4
125,2,1,1,1,2
126,2,2,4,0,4
127,2,1,1,0,1
128,2,2,1,2,3
129,2,1,3,2,4
130,2,2,3,0,3
131,2,1,1,0,1
132,2,2,4,1,4
133,2,1,4,2,4
134,2,2,4,2,4
135,2,1,2,2,4
136,2,2,1,0,1
137,2,1,3,1,4
138,2,2,3,0,3
139,2,1,1,1,2
140,2,2,3,0,3
141,2,1,2,2,4
142,2,2,4,2,4
143,2,1,2,1,3
144,2,2,4,2,4
145,2,1,1,0,1
146,2,2,1,2,3
147,2,1,2,0,2
148,2,2,0,0,0
149,2,1,4,1,4
150,2,2,2,1,3
151,2,1,3,2,4
152,2,2,0,1,1
153,2,1,1,1,2
154,2,2,4,1,4
155,2,1,1,1,2
156,2,2,0,0,0
157,2,1,3,2,4
158,2,2,4,2,4
159,2,1,3,0,3
160,2,2,2,2,4
161,2,1,4,1,4
162,2,2,3,0,3
163,2,1,0,1,1
164,2,2,0,1,1
165,3,1,2,0,2
166,3,2,1,0,1
167,3,1,1,0,1
168,3,2,2,1,3
169,3,1,4,2,4
170,3,2,0,0,0
171,3,1,2,2,4
172,3,2,3,1,4
173,3,1,4,1,4
174,3,2,0,0,0
175,3,1,4,1,4
176,3,2,4,1,4
177,3,1,1,1,2
178,3,2,0,2,2
179,3,1,1,1,2
180,3,2,2,2,4
181,3,1,4,1,4
182,3,2,2,1,3
183,3,1,4,1,4
184,3,2,3,0,3
185,3,1,0,0,0
186,3,2,1,2,3
187,3,1,3,0,3
188,3,2,2,0,2
189,3,1,3,1,4
190,3,2,1,1,2
191,3,1,3,0,3
192,3,2,3,0,3
193,3,1,1,1,2
194,3,2,0,1,1
195,3,1,3,2,4
196,3,2,0,1,1
197,3,1,4,2,4
198,3,2,1,1,2
199,3,1,2,2,4
200,3,2,0,0,0
201,3,1,1,2,3
202,3,2,1,1,2
203,3,1,0,1,1
204,3,2,1,1,2
205,3,1,0,0,0
206,3,2,1,2,3
207,3,1,4,0,4
208,3,2,2,2,4
209,3,1,3,1,4
210,3,2,4,2,4
211,3,1,3,2,4
212,3,2,2,0,2
213,3,1,0,2,2
214,3,2,1,1,2
215,3,1,3,1,4
216,3,2,4,2,4
217,3,1,4,0,4
218,3,2,1,0,1
219,3,1,4,2,4
220,3,2,4,0,4
221,3,1,1,2,3
222,3,2,1,0,1
223,3,1,2,1,3
224,3,2,3,2,4
225,3,1,4,1,4
226,3,2,2,2,4
227,3,1,3,2,4
228,3,2,4,1,4
229,3,1,0,2,2
230,3,2,4,0,4
231,3,1,3,0,3
232,3,2,4,0,4
233,3,1,3,1,4
234,3,2,2,1,3
235,3,1,1,0,1
